Question,Answer,Tags
Describe the difference between scaling RDS vertically and horizontally,"Vertical would be increasing instance size
Horizontal would be read replicas","High Availability, Fault Tolerance, and Disast Recovery"
What is Amazon Aurora?,A MySQL and PostreSQL compatible database built for the cloud (its got a lot of built in faul tolerance and such),"High Availability, Fault Tolerance, and Disast Recovery"
"In Amazon Aurora, what are the two types of read replicas?","Aurora Replicas - sares volume with primary instance. Low performance impact and be provide a failover with no data loss
MySQL Replicas - Primary instance data replayed as transaction. High performance impact on primary. Can provide a failover with minutes of data loss.","High Availability, Fault Tolerance, and Disast Recovery"
Describe the difference between Primary and Sort keys in DyanmoDB,Primary would be something like user ID. Sort key is for secondary indexes like Address or Type.,"High Availability, Fault Tolerance, and Disast Recovery"
What are DynamoDB streams?,"You can trigger lambda events on Dynamo when items are created, updated, or deleted.","High Availability, Fault Tolerance, and Disast Recovery"
Why is tagging useful in AWS?,It helps you track resources for billing or other purposes,Other Services
"For EFS (elastic file system), what are the two performance modes and storage classes?","Performance - General purpose default and Max I/O
Storage - Standard default and Infrequently Accessed (EFS IA)",Other Services
What two stores are available on Elasticache?,Redis and Memcached,Other Services
What are the benefits of Elasticache?,In-memory data stores are very fast,Other Services
What is the main factor that affects retrieval price on AWS Glacier?,The speed of the retrieval,Other Services
What is AWS Direct Connect?,It allows you to set up a direct connection to AWS without using the internet.,Other Services
What are Lambda dead letter queues?,Lambdas are retried twice before the event is discarded. Dead letter queues allow you to debug your lambdas. You can send the failed events to SNS or SQS.,Other Services
What is CloudSearch?,A managed service that provides a search solution for your website or application. You can provide it with your data and it will help configure the search system.,Other Services
What is Elasticsearch Service?,"A managed service that provides elasticsearch. Commonly used in the ELK stack (elasticsearch, logstash, and kibana) which Elasticsearch service can provision for you.",Other Services
What is DynamoDB Accelerator? (DAX),Fully managed in-memory cache for Dynamodb.,Other Services
What is AWS Server Migration Service?,SMS Automates the migration of your on-premise VMware vSphere or Microsoft Hyper-V virtual machines to the cloud. It will recreate them as AMIs.,Other Services
